"","id","title","artist","mood","mood.cod","tempo","tempo.cod","genre","genre.cod","artist_type","artist_type.cod","durationSeg","durationSeg.cod","chart_date","agnioChar_date.numero","anioNacimiento","anioNacimiento.numero","age","age.cod","top"
"363",362,"Red Lights","TIESTO","Yearning",4,"Medium Tempo",1,"Rock",1,"Male",3,228,3,20140329,2014,"1979",1979,35,3,"0"
"364",363,"Demons","IMAGINE DRAGONS","Yearning",4,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,237,3,20140104,2014,"1987",1987,27,2,"0"
"365",364,"23","MIKE WILL MADE-IT feat MILEY CYRUS, WIZ KHALIFA & JUICY J","Cool",5,"Medium Tempo",1,"Urban",3,"Mixed",1,321,6,20140104,2014,"1992",1992,22,1,"0"
"366",365,"Leave The Night On","SAM HUNT","Yearning",4,"Medium Tempo",1,"Traditional",2,"Male",3,228,3,20140712,2014,"1984",1984,30,2,"0"
"367",366,"Booty","JENNIFER LOPEZ featuring IGGY AZALEA or PITBULL","Cool",5,"Medium Tempo",1,"Urban",3,"Female",2,242,4,20141004,2014,"1969",1969,45,5,"0"
"368",367,"Ain't It Fun","PARAMORE","Rowdy",4,"Medium Tempo",1,"Alternative & Punk",1,"Mixed",1,273,5,20140315,2014,"0",1982,32,3,"0"
"369",368,"I Don't Fuck With You","BIG SEAN featuring E-40","Defiant",3,"Medium Tempo",1,"Urban",3,"Male",3,248,4,20141011,2014,"0",1982,32,3,"0"
"370",369,"Yellow Flicker Beat","LORDE","Excited",5,"Fast Tempo",2,"Electronica",1,"Female",2,211,3,20141018,2014,"1996",1996,18,NA,"0"
"371",370,"Irreplaceable","BEYONCE","Sensual",2,"Slow Tempo",0,"Urban",3,"Female",2,300,5,20061216,2006,"1981",1981,25,1,"1"
"372",371,"Oceans (Where Feet May Fail)","HILLSONG UNITED","Romantic",2,"Medium Tempo",1,"Other",0,"Mixed",1,278,5,20140201,2014,"0",1982,32,3,"0"
"373",372,"Come With Me Now","KONGOS","Defiant",3,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,183,2,20140419,2014,"0",1982,32,3,"0"
"374",373,"Soldier","DAMIEN","Sensual",2,"Medium Tempo",1,"Urban",3,"Male",3,300,5,20150103,2015,"0",1982,33,3,"0"
"375",374,"Replay","ZENDAYA","Excited",5,"Fast Tempo",2,"Pop",3,"Female",2,211,3,20140104,2014,"1996",1996,18,NA,"0"
"376",375,"Ordinary Love","U2","Empowering",6,"Medium Tempo",1,"Rock",1,"Male",3,241,4,20140308,2014,"1960",1960,54,7,"0"
"377",376,"Body Language","KID INK featuring USHER & TINASHE","Cool",5,"Slow Tempo",0,"Urban",3,"Male",3,178,1,20141025,2014,"1978",1978,36,3,"0"
"378",377,"Leave Your Lover","SAM SMITH","Easygoing",1,"Medium Tempo",1,"Urban",3,"Male",3,304,6,20140607,2014,"1992",1992,22,1,"0"
"379",378,"Bo$$","FIFTH HARMONY","Energizing",6,"Medium Tempo",1,"Pop",3,"Female",2,251,4,20140726,2014,"1993",1993,21,NA,"0"
"380",379,"Love Me Like You Do","ELLIE GOULDING","Empowering",6,"Slow Tempo",0,"Electronica",1,"Female",2,180,1,20150124,2015,"1986",1986,29,2,"0"
"381",380,"Locked Out Of Heaven","BRUNO MARS","Urgent",3,"Fast Tempo",2,"Pop",3,"Male",3,190,2,20121222,2012,"1985",1985,27,2,"1"
"382",381,"Stronger (What Doesn't Kill You)","KELLY CLARKSON","Excited",5,"Medium Tempo",1,"Pop",3,"Female",2,2591,6,20120218,2012,"1982",1982,30,2,"1"
"383",382,"Can't Hold Us","MACKLEMORE & RYAN LEWIS featuring RAY DALTON","Energizing",6,"Medium Tempo",1,"Urban",3,"Male",3,207,2,20130518,2013,"1983",1983,30,2,"1"
"384",383,"***Flawless","BEYONCE featuring NICKI MINAJ or CHIMAMANDA NGOZI ADICHIE","Defiant",3,"Medium Tempo",1,"Urban",3,"Female",2,234,3,20140913,2014,"1981",1981,33,3,"0"
"385",384,"Stoner","YOUNG THUG","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,253,4,20140301,2014,"0",1982,32,3,"0"
"386",385,"Party Rock Anthem","LMFAO featuring LAUREN BENNETT & GOONROCK","Excited",5,"Fast Tempo",2,"Pop",3,"Mixed",1,196,2,20110716,2011,"1975",1975,36,3,"1"
"387",386,"Right Round","FLO RIDA","Energizing",6,"Medium Tempo",1,"Urban",3,"Mixed",1,224,3,20090228,2009,"1979",1979,30,2,"1"
"388",387,"Try","COLBIE CAILLAT","Empowering",6,"Medium Tempo",1,"Pop",3,"Female",2,482,6,20140726,2014,"1985",1985,29,2,"0"
