"","abreviatura","entidad","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","anual","agnio"
"136","CHIH","CHIHUAHUA ",12.7333333333333,9.6,1.66666666666667,6.5,3.53333333333333,20.2333333333333,138.266666666667,91.1333333333333,76.0666666666667,15.4333333333333,14.2666666666667,11.2333333333333,NA,"2014"
"137","CDMX","DISTRITO FEDERAL ",10.9333333333333,28.7333333333333,12.0666666666667,23.2666666666667,23.8666666666667,106.7,198.1,147.266666666667,93,26.8666666666667,12,0.333333333333333,NA,"2014"
"138","DGO","DURANGO ",4.6,16.1,2.6,2.76666666666667,5.43333333333333,26.5333333333333,146.766666666667,79.7,99.5,11.2666666666667,4.66666666666667,3.76666666666667,NA,"2014"
"139","GTO","GUANAJUATO ",20.4666666666667,70.3666666666667,2.6,4.86666666666667,7.83333333333333,79.1,174.266666666667,101.466666666667,101.6,14.3666666666667,5.06666666666667,1.23333333333333,NA,"2014"
"140","GRO","GUERRERO ",12.9,40,1.06666666666667,4.83333333333333,26.5666666666667,232.5,260.5,353.533333333333,217.8,69.2666666666667,6.4,0.266666666666667,NA,"2014"
"141","HGO","HIDALGO ",29.1,46.4,11.5333333333333,39.6,24.1333333333333,127.4,218,118.333333333333,107.033333333333,17.6,22.5,3.76666666666667,NA,"2014"
"142","JAL","JALISCO ",10.0666666666667,62,0.533333333333333,1.2,6.4,115.666666666667,229.6,171,100.8,33.8,2.1,4.06666666666667,NA,"2014"
"143","MEX","ESTADO DE MÉXICO ",13.1333333333333,52.7333333333333,5.66666666666667,14.0333333333333,22.5333333333333,117.233333333333,215.133333333333,136.433333333333,85.3333333333333,25.9,10.1666666666667,0.3,NA,"2014"
"144","MICH","MICHOACÁN ",15.2,79.5333333333333,3.96666666666667,2.83333333333333,14.7333333333333,133.133333333333,262.233333333333,190.066666666667,103.533333333333,24.0666666666667,12.2333333333333,2.1,NA,"2014"
"145","MOR","MORELOS ",10.0333333333333,40.3333333333333,1.86666666666667,8.03333333333333,35.9,177.433333333333,250.866666666667,262.9,171.433333333333,37.6666666666667,8.26666666666667,0.233333333333333,NA,"2014"
"146","NAY","NAYARIT ",6.93333333333333,51.5,0.1,0.1,1.06666666666667,117.766666666667,371.9,423.1,279.266666666667,25.4666666666667,0.933333333333333,1.56666666666667,NA,"2014"
"147","NL","NUEVO LEÓN ",19.2666666666667,35.8333333333333,16.8,63.3666666666667,37.2,118.033333333333,152.333333333333,52.9,154.8,35.3,26.7,8.93333333333334,NA,"2014"
"148","OAX","OAXACA ",35.8,18.8333333333333,14.7666666666667,35.4333333333333,37.5333333333333,279.533333333333,321.466666666667,429.066666666667,288.833333333333,58.9,29,13.7333333333333,NA,"2014"
"149","PUE","PUEBLA ",40.1,42,23.7666666666667,45.4333333333333,56.3333333333333,191.333333333333,306.2,291.2,214.4,70.5333333333333,48.3333333333333,15.5666666666667,NA,"2014"
"150","QRO","QUERÉTARO ",15.4333333333333,64.6,6.43333333333333,10.2333333333333,12.9666666666667,109.5,134.9,89.2333333333333,93.9333333333333,11.4333333333333,10.2333333333333,0.866666666666667,NA,"2014"
"151","QROO","QUINTANA ROO ",57.2333333333333,61.6,45.6,107.4,135.133333333333,204.7,193.433333333333,148.633333333333,149.533333333333,208.466666666667,89.4666666666667,38.2,NA,"2014"
"152","SLP","SAN LUIS POTOSÍ ",29.5333333333333,47.2666666666667,12,54.2666666666667,47.8666666666667,168.4,364.266666666667,122.266666666667,174.366666666667,33.2,26.9,5.23333333333333,NA,"2014"
"153","SIN","SINALOA ",5.53333333333333,17.5666666666667,0.666666666666667,0.466666666666667,0.3,21.4666666666667,195.433333333333,217.8,120.9,18.9,15.3333333333333,15.2666666666667,NA,"2014"
"154","SON","SONORA ",21.1333333333333,13.8333333333333,3.06666666666667,2.76666666666667,0.433333333333333,10.7666666666667,123.466666666667,113.133333333333,63.5666666666667,6.13333333333333,21.1333333333333,18.9666666666667,NA,"2014"
"155","TAB","TABASCO ",179.533333333333,107.5,59.1,38.4333333333333,106.6,248.266666666667,320.133333333333,430.8,430.133333333333,232.066666666667,129.533333333333,93.9666666666667,NA,"2014"
"156","TAMPS","TAMAULIPAS ",26.8333333333333,50.7,10.8666666666667,54.5333333333333,47.6,163.266666666667,173.333333333333,59.9666666666667,138.666666666667,25.6666666666667,21.0333333333333,8.13333333333333,NA,"2014"
"157","TLAX","TLAXCALA ",16,32.7333333333333,12.6333333333333,37.6333333333333,43.1,138.9,202.333333333333,163.733333333333,107.733333333333,34.9666666666667,8.86666666666667,1.86666666666667,NA,"2014"
"158","VER","VERACRUZ ",81.4,41.7666666666667,22.4666666666667,54.4666666666667,50.1666666666667,188.866666666667,337.333333333333,349.8,306.566666666667,133.566666666667,79.7,34.0666666666667,NA,"2014"
"159","YUC","YUCATÁN ",46.7333333333333,21.4333333333333,14.2333333333333,57,59.2333333333333,190.833333333333,167.733333333333,153.666666666667,171.233333333333,80.3666666666667,23.5666666666667,11.5,NA,"2014"
"160","ZAC","ZACATECAS ",10.1333333333333,41.3333333333333,0.533333333333333,1.16666666666667,7.53333333333333,34.4333333333333,120.033333333333,90.0666666666667,96.8,12,2.13333333333333,1.93333333333333,NA,"2014"
"161","AGS","AGUASCALIENTES ",14.7666666666667,53.6333333333333,0.366666666666667,0.333333333333333,3.73333333333333,54.8333333333333,105.2,72.8666666666667,77.6,11.4,1.76666666666667,3.03333333333333,399.533333333333,"2015"
"162","BC","BAJA CALIFORNIA ",29.5333333333333,53.2333333333333,30.1666666666667,19.4666666666667,2.36666666666667,0.0333333333333333,4.8,4.46666666666667,6.16666666666667,11.9333333333333,17.9,38.1,218.166666666667,"2015"
"163","BCS","BAJA CALIFORNIA SUR ",2.16666666666667,9,1.3,0.2,0.166666666666667,0,3.3,42.5666666666667,67.4666666666667,23.1666666666667,6.83333333333333,5.36666666666667,161.533333333333,"2015"
"164","CAMP","CAMPECHE ",47.0333333333333,14.3333333333333,16.6,24.8,82.9666666666667,266.133333333333,210.033333333333,224.566666666667,201.1,104.733333333333,36.2,20.6,1249.1,"2015"
"165","COAH","COAHUILA ",17.4666666666667,17.0666666666667,11.2,34.7,38.7,35.5333333333333,86.0666666666667,26.8666666666667,61.4,15.9666666666667,12.1666666666667,6.73333333333333,363.866666666667,"2015"
"166","COL","COLIMA ",8.9,89.2666666666667,0,0.0666666666666667,14.3666666666667,171.066666666667,250.066666666667,258.7,222.7,150.6,12.0333333333333,8.06666666666667,1185.83333333333,"2015"
"167","CHIS","CHIAPAS ",48.1333333333333,31.1666666666667,52.4333333333333,67.4666666666667,172.333333333333,357.366666666667,355.133333333333,536.166666666667,434.366666666667,175.5,59.2333333333333,43.1,2332.4,"2015"
"168","CHIH","CHIHUAHUA ",12.7333333333333,9.6,1.66666666666667,6.5,3.53333333333333,20.2333333333333,138.266666666667,91.1333333333333,76.0666666666667,15.4333333333333,14.2666666666667,11.2333333333333,400.666666666667,"2015"
"169","CDMX","DISTRITO FEDERAL ",10.9333333333333,28.7333333333333,12.0666666666667,23.2666666666667,23.8666666666667,106.7,198.1,147.266666666667,93,26.8666666666667,12,0.333333333333333,683.133333333333,"2015"
"170","DGO","DURANGO ",4.6,16.1,2.6,2.76666666666667,5.43333333333333,26.5333333333333,146.766666666667,79.7,99.5,11.2666666666667,4.66666666666667,3.76666666666667,403.733333333333,"2015"
"171","GTO","GUANAJUATO ",20.4666666666667,70.3666666666667,2.6,4.86666666666667,7.83333333333333,79.1,174.266666666667,101.466666666667,101.6,14.3666666666667,5.06666666666667,1.23333333333333,583.233333333333,"2015"
"172","GRO","GUERRERO ",12.9,40,1.06666666666667,4.83333333333333,26.5666666666667,232.5,260.5,353.533333333333,217.8,69.2666666666667,6.4,0.266666666666667,1225.63333333333,"2015"
"173","HGO","HIDALGO ",29.1,46.4,11.5333333333333,39.6,24.1333333333333,127.4,218,118.333333333333,107.033333333333,17.6,22.5,3.76666666666667,765.4,"2015"
"174","JAL","JALISCO ",10.0666666666667,62,0.533333333333333,1.2,6.4,115.666666666667,229.6,171,100.8,33.8,2.1,4.06666666666667,737.233333333333,"2015"
"175","MEX","ESTADO DE MÉXICO ",13.1333333333333,52.7333333333333,5.66666666666667,14.0333333333333,22.5333333333333,117.233333333333,215.133333333333,136.433333333333,85.3333333333333,25.9,10.1666666666667,0.3,698.6,"2015"
